item,category,hz,shift
schijp,3,258.01269190063863,1.5787705096043536
schook,1,145.52146116023656,0.8942147647552605
schook,2,201.58701667441497,1.2387319729750146
schook,3,257.123335916783,1.5799970774533432
schoop,1,141.41888435955315,0.8927091028083558
schoop,2,196.74466061722237,1.2419540025177016
schoop,3,251.54818382142412,1.5879021709813497
schoot,1,137.65427946263102,0.8912519809213436
schoot,2,192.3012197723096,1.2450673072041212
schoot,3,246.43231496656736,1.595542759254422
schuip,1,145.85965286406832,0.8943336866252102
schuip,2,201.98619132125387,1.2384717197981374
schuip,3,257.582917852199,1.5793612284894234
schuis,1,143.58118679608486,0.8935120663036286
schuis,2,199.29687080358067,1.2402332284135318
schuis,3,254.48662118542939,1.5836814823446084
schuit,1,140.2051491036181,0.8922454757385833
schuit,2,195.31206384842417,1.2429379836622898
schuit,3,249.8987915043296,1.5903200955015684
sjeik,1,143.3237481139426,0.8934170655629068
sjeik,2,198.99301061463325,1.2404347077883817
sjeik,3,254.13677769001146,1.584176643182103
soot,1,143.58192905171813,0.893513936954596
soot,2,199.29774690322157,1.2402348654720714
soot,3,254.48762986564427,1.5836828880157385
spaaf,1,148.7214167928192,0.895334168933595
spaaf,2,205.36399034072235,1.2363343598100751
spaaf,3,261.47188079888673,1.574115646172883
spaak,1,146.238299423741,0.8944692078514064
spaak,2,202.43311566925402,1.2381858195088802
spaak,3,258.09747547369375,1.5786578847341526
spaat,1,147.39459237552055,0.8948779671081085
spaat,2,203.79791210109795,1.2373198931021057
spaat,3,259.668807196695,1.5765293051833724
speus,1,145.60371462486916,0.894244239807494
speus,2,201.6841021360747,1.2386692678864282
speus,3,257.23511336738943,1.5798430623673547
spijs,1,146.37672509203077,0.8945184851607311
spijs,2,202.59650234204034,1.238081506878384
spijs,3,258.28558752914364,1.5784014319910318
spook,1,148.12708655330135,0.8951322660451168
spook,2,204.66249009462751,1.236775817277135
spook,3,260.6642221879299,1.5751943909327448
spoop,1,146.40798669858006,0.8945294268155679
spoop,2,202.6334010613541,1.2380577329997542
spoop,3,258.32807014914687,1.578343270279594
spuit,1,149.80836758858,0.895709451219757
spuit,2,206.64694079489686,1.2355492614669452
spuit,3,262.9489807536098,1.5721811207264271
staaf,1,145.98038962424235,0.8943785108230232
staaf,2,202.12869941076897,1.238382536441571
staaf,3,257.74699175847144,1.5791393025558391
staak,1,143.9313604811954,0.8936390140806778
staak,2,199.71018803017893,1.2399578169517322
staak,3,254.9624859039054,1.5830075097531822
staap,1,154.1773237221322,0.8971471914904041
staap,2,211.80370987558567,1.2324711499376788
staap,3,268.8861261443915,1.5646297852201376
staat,1,143.6641473973648,0.8935445856085538
staat,2,199.39479091321752,1.240171184298716
staat,3,254.59935959168692,1.5835257674506618
stauf,1,144.92003213768137,0.893999755755438
stauf,2,200.8771375882133,1.239194535715395
stauf,3,256.30603049187306,1.5811308159294921
steeg,1,150.57441462198202,0.8959622728536316
steeg,2,207.551121916301,1.2349905220770665
steeg,3,263.9899920328388,1.5708184811221217
steek,1,143.8333286615538,0.8936040335927125
steek,2,199.59447905050538,1.240035485670036
steek,3,254.82926662947395,1.5831967643146023
steep,1,144.2641080703159,0.893763367978559
steep,2,200.10293687608112,1.2397031888042203
steep,3,255.41466961888224,1.5823774769982069
stees,1,146.2477445948365,0.894473315143418
stees,2,202.44426399960537,1.238179723408122
stees,3,258.1103108861632,1.5786416815565438
steug,1,146.60758815742528,0.8946044476479468
steug,2,202.8689947821354,1.2379134484300196
steug,3,258.5993163794021,1.5779817504624485
steut,1,149.26962772563365,0.8955229907867281
steut,2,206.01105501741307,1.2359355277781094
steut,3,262.21686607991046,1.5731347074719018
stijk,1,146.87438418721422,0.8946951170306324
stijk,2,203.18389964160508,1.237708289805454
stijk,3,258.96187594056937,1.5774835563279195
stoos,1,144.82683489186857,0.8939668703772397
stoos,2,200.76713495579452,1.2392673460345958
stoos,3,256.17938110893203,1.5813083242212622
stoot,1,149.46889355868802,0.8955906117361566
stoot,2,206.24625259214736,1.2357902914077907
stoot,3,262.48765621514974,1.5727786230692384
taa,1,138.1762275247694,0.8914627751813
taa,2,192.9172858407899,1.2446321780296536
taa,3,247.1416106053022,1.5944678039027005
taak,1,140.8244174704734,0.8924833121198805
taak,2,196.04299908082984,1.242434432042004
taak,3,250.7403395120324,1.5890821542839486
taap,1,141.54052283331922,0.8927566325221022
taap,2,196.8882330178975,1.241858319961691
taap,3,251.71348310156918,1.5876646280217517
taas,1,147.02821397702002,0.8947463456548854
taas,2,203.36546811689095,1.2375890620450785
taas,3,259.17092125931197,1.5771954812225588
tape,1,149.22214893421238,0.8955065973299736
tape,2,205.95501482014274,1.2359698331776594
tape,3,262.1523452930155,1.5732192331509647
tauk,1,145.94156483307196,0.8943633568154917
tauk,2,202.0828737085757,1.2384101643123275
tauk,3,257.6942312310368,1.579209308461177
taut,1,146.2551379550848,0.8944755422584241
taut,2,202.45299053527316,1.2381735850298188
taut,3,258.12035801261135,1.5786272566518207
teek,1,149.1654399381425,0.8954880400292896
teek,2,205.88808002185434,1.23601226477541
teek,3,262.07528121996455,1.5733220779365027
teu,1,148.68099044583556,0.8953198640704464
teu,2,205.31627428915357,1.236363426399035
teu,3,261.4169438546092,1.5741876748049053
teuf,1,152.57754472787377,0.8966283454053314
teuf,2,209.9154577161802,1.2335769976030886
teuf,3,266.71212389037737,1.5673449901811338
teug,1,149.2402813527322,0.8955143607766534
teug,2,205.9764168878959,1.235958801688849
teug,3,262.1769861458297,1.5731895841432886
thee,1,147.05640989123577,0.8947564256224506
thee,2,203.39874833628085,1.237568203739328
thee,3,259.2092377900821,1.5771439766883373
tijd,1,150.11797414737165,0.8958114584726266
tijd,2,207.01237580517176,1.235322148098421
tijd,3,263.36971721726286,1.5716279935026705
toast,1,147.20411060115254,0.8948096100818811
toast,2,203.57308253209607,1.2374596732374488
toast,3,259.40995406241166,1.5768752577492755
too,1,145.7047269391293,0.8942809704551029
too,2,201.8033290550509,1.238593151640272
too,3,257.3723829525464,1.5796551644566774
touw,1,147.55732949882673,0.89493455840822
touw,2,203.98999408592294,1.2371984224506614
touw,3,259.8899570393602,1.5762314534135047
uip,1,151.0578117165864,0.8961252759027261
uip,2,208.1216854822766,1.2346471904019192
uip,3,264.6468992537896,1.5699735943186774
